Ordre de travail;Staut Ordre de travail;Equipment;Noeud Parent;Classification Equipement;Date début;Type OT
OT009463;clôturé;PFC107;PFC1;MECANIQUE;2019-01-15;correctif planifié
OT009467;en cours INV;ULUTVP0103;ULUTVP01;MECANIQUE;2019-01-11;correctif non planifié
OT009470;en cours INV;ULPRPH0205;ULPRPH02;MECANIQUE;2019-01-15;correctif non planifié
OT009476;en cours INV;ULPRPT05;ULPRPT;MECANIQUE;2019-01-10;correctif planifié
OT009485;en cours INV;ULPRPT06;ULPRPT;MECANIQUE;2019-01-10;correctif planifié
OT009580;clôturé;GCULZ201;GCULZ2;MECANIQUE;2019-01-18;correctif planifié
OT009583;clôturé;PAV004012;PAV004;MECANIQUE;2019-01-18;correctif planifié
OT009585;en cours INV;ULPRPH0405;ULPRPH04;MECANIQUE;2019-01-15;correctif non planifié
OT009586;en cours INV;ULPRPH0104;ULPRPH01;MECANIQUE;2019-01-18;correctif non planifié
OT009721;en cours INV;ULPRPH05;ULPRPH;MECANIQUE;2019-01-18;correctif planifié
OT009722;en cours INV;ULPRPH0301;ULPRPH03;MECANIQUE;2019-01-17;correctif planifié
OT009825;en cours INV;ULPRPH0502;ULPRPH05;MECANIQUE;2019-01-18;correctif planifié
OT009826;en cours INV;ULPRPH0208;ULPRPH02;MECANIQUE;2019-01-18;correctif planifié
OT009828;en cours INV;ULPRDV0103;ULPRDV01;MECANIQUE;2019-01-18;correctif planifié
OT009829;clôturé;PFC103;PFC1;MECANIQUE;2019-01-16;correctif planifié
OT009874;clôturé;ULPRPH0603;ULPRPH06;MECANIQUE;2019-01-18;correctif planifié
OT009876;en cours INV;ULPRPH0309;ULPRPH03;MECANIQUE;2019-01-17;correctif planifié
OT009878;clôturé;PFS103;PFS1;MECANIQUE;2019-01-19;correctif non planifié
OT011144;clôturé;PFC102;PFC1;MECANIQUE;2019-01-20;correctif non planifié
OT011154;clôturé;PFS102;PFS1;MECANIQUE;2019-01-20;correctif planifié
OT011197;en cours INV;ULPRPH0411;ULPRPH04;MECANIQUE;2019-01-21;correctif planifié
OT011200;clôturé;PFC101;PFC1;MECANIQUE;2019-01-20;correctif planifié
OT011201;clôturé;ULPRPS0202;ULPRPS02;MECANIQUE;2019-01-22;correctif planifié
OT011202;en cours INV;ULPRPH06;ULPRPH;MECANIQUE;2019-01-17;correctif planifié
OT011204;en cours INV;ULPRPH0209;ULPRPH02;MECANIQUE;2019-01-16;correctif planifié
OT011206;en cours INV;ULPRPH0108;ULPRPH01;MECANIQUE;2019-01-19;correctif planifié
OT011207;en cours INV;ULPRPH0201;ULPRPH02;MECANIQUE;2019-01-19;correctif planifié
OT011208;en cours INV;ULPRPH0305;ULPRPH03;MECANIQUE;2019-01-20;correctif planifié
OT011240;en cours INV;ULUTTE010502;ULUTTE0105;MECANIQUE;2019-01-15;correctif planifié
